s57code|osm_attr|s57enum|osm_str
1|agency
2|shape|1|stake|2|withy|3|tower|4|lattice|5|pile|6|cairn|7|buoyant|1|pole|1|perch|1|post
3|shape|1|non-specific|2|tower|3|spire|4|cupola|5|high-rise|6|pyramid|7|cylindrical|8|spherical|9|cubic
4|shape|1|conical|2|can|3|spherical|4|pillar|5|spar|6|barrel|7|super-buoy|8|ice_buoy
5|depth_buried
6|callsign
7|category|1|military|2|civil|3|military_heliport|4|civil_heliport|5|glider|6|small_planes|8|emergency
8|category|1|unrestricted|2|deep_water|3|tanker|4|explosives|5|quarantine|6|seaplane|7|small_craft|8|small_craft_mooring|9|24_hour|10|limited_period
9|category|1|fixed|2|opening|3|swing|4|lifting|5|bascule|6|pontoon|7|drawbridge|8|transporter|9|footbridge|10|viaduct|11|aqueduct|12|suspension
10|category|1|urban|2|settlement|3|village|4|town|5|city|6|holiday_village
11|category|1|power|2|telecom|3|transmission|4|telephone|5|telegraph|6|mooring|7|optical|8|ferry
12|category|1|transportation|2|drainage|3|irrigation
13|category|1|north|2|east|3|south|4|west
14|category|1|custom|2|border
15|category|1|steep|2|flat|3|sandy|4|stony|5|shingly|6|glacier|7|mangrove|8|marshy|9|coral_reef|10|ice|11|shelly
16|category|1|triangulation|2|observation|3|fixed|4|benchmark|5|boundary|6|horizontal_main|7|horizontal_secondary
17|category|1|aerial|2|belt
18|category|1|coverage|2|no_coverage
19|category|1|non-specific|2|container|3|sheerlegs|4|travelling|5|a-frame
20|category|1|weir|2|dam|3|flood_barrage
21|category|1|not_installed|2|pole|3|board|4|unknown_shape
22|category|1|tidal|2|non-tidal
23|category|1|general|2|chemical|3|nuclear|4|explosives|5|spoil|6|vessel
24|category|1|fence|2|muir|3|hedge|4|wall
25|category|1|free|2|cable|3|ice|4|swinging_wire_ferry
26|category|1|stake|2|trap|3|weir|4|tunny
27|category|1|explosive|2|diaphone|3|siren|4|nautophone|5|reed|6|tyfon|7|bell|8|whistle|9|gong|10|horn
28|category|1|castle|2|fort|3|battery|4|blockhouse|5|martello_tower|6|redoubt
29|category|1|general|2|flood_barrage|3|caisson|4|lock|5|dyke|6|sluice
30|category|1|roro|2|timber|3|ferry|4|fishing|5|yacht|6|naval|7|tanker|8|passenger|9|shipyard|10|container|11|bulk|12|syncrolift|13|straddle_carrier|14|marina|16|service_repair|17|quarantine|18|marina_no_facilities
31|category|1|floating_restaurant|2|historic|3|museum|4|accommodation|5|floating_breakwater|6|casino_boat
32|category|1|fast|2|sea|3|growler|4|pancake|5|glacier|6|peak|7|pack|8|polar
33|category|1|calm|2|sbm
34|category|1|fen|2|marsh|3|bog|4|heathland|5|mountain|6|lowlands|7|canyon|8|paddy|9|agricultural|10|savanna|11|parkland|12|swamp|13|landslide|14|lava|15|salt_pan|16|moraine|17|crater|18|cave|19|rock_pinnacle|20|cay
35|category|1|cairn|2|cemetery|3|chimney|4|dish_aerial|5|flagstaff|6|flare_stack|7|mast|8|windsock|9|monument|10|column|11|memorial|12|obelisk|13|statue|14|cross|15|dome|16|radar_scanner|17|tower|18|windmill|19|windmotor|20|spire|21|boulder|22|minaret|23|water_tower
